[null]
[ed, s, en]
-1735980366,photochemistry,fotoquímica,NOUN
-1735713955,saskatchewan,Saskatchewan,PROPOSITIOIN
-1735582135,distillery,destilería,NOUN
-1735374350,full moon,plenilunio ,NONE
-1735190797,full stop,punto,NOUN
-1734926706,cholesterol,colesterol,NOUN
-1734798695,talkative,hablador,ADJECTIVE
-1734744087,bean sprout,brote,NOUN
-1734569140,endosymbiotic theory,hipótesis endosimbiótica,NOUN
-1734220453,essentially,esencialmente,ADVERB
-1733809914,sunbathe,tomar el sol,VERB
-1733763381,holy water,agua bendita,NOUN
-1733487167,sunblock,protector solar,NOUN
-1733004827,yitzchak,,PROPOSITIOIN
-1731985682,substantial,substancial,ADJECTIVE
-1731985038,substantive,sustantivo,NONE
-1731976895,flower girl,violetera,NOUN
-1731397964,acquaint,familiarizar,VERB
-1731259873,conclusion,conclusión,NOUN
-1731187334,irreconcilable,irreconciliable,ADJECTIVE
-1731128688,icelandic,islandés,ADJECTIVE
-1730850049,baryonic,bariónico,ADJECTIVE
-1730760277,salubrious,salubre,ADJECTIVE
-1730146418,transceive,transceptar,VERB
-1730057679,agriculture,agricultura,NOUN
-1729946800,horoscope,horóscopo,NOUN
-1729802628,hate crime,delito de odio,NOUN
-1729759755,transcribe,transcribir,VERB
-1729759306,transcript,expediente académico,NOUN
-1729622134,present tense,presente,NOUN
-1729541838,wheat germ,germen de trigo,NOUN
-1729384960,gnosticism,gnosticismo,NOUN
-1729130163,bratislava,Bratislava,PROPOSITIOIN
-1729114654,collaborate,colaborar,VERB
-1729096058,cheddar cheese,Cheddar,NOUN
-1729049770,logically,lógicamente,ADVERB
-1729021845,myxomatosis,mixomatosis,NOUN
-1729002614,Galician,gallego,NONE
-1728738592,don't look a gift horse in the mouth,a caballo regalado no se le miran los dientes,NONE
-1728324062,uncle sam,tío Sam,PROPOSITIOIN
-1728145450,come together,juntarse,VERB
-1728100203,shamanism,chamanismo,PROPOSITIOIN
-1727739840,American,norteamericano,NONE
-1727623199,meningitis,meningitis,NOUN
-1727546482,extrasystolic,extrasistólico,ADJECTIVE
-1727447132,andean flamingo,flamenco andino,NOUN
-1727316179,dragon boat,barco-dragón,NOUN
-1726999752,grey crow,,NOUN
-1726769307,mozambican,mozambiqueño,ADJECTIVE
-1726767473,purepecha,purépecha,PROPOSITIOIN
-1726755242,mozambique,Mozambique,PROPOSITIOIN
-1726537187,asymmetry,asimetría,NOUN
-1726522254,el niño,El Niño,NOUN
-1726458149,travel sickness,,NOUN
-1726406925,grey wolf,lobo,NOUN
-1726194350,transparent,transparente,ADJECTIVE
-1726068974,transgress,transgredir,VERB
-1725923753,apocalypse,apocalipsis,NOUN
-1725730596,teaspoonful,cucharadita,NOUN
-1725714115,bit of skirt,falda,NOUN
-1725629151,annexation,anexión,NOUN
-1724546052,description,señalamiento,NOUN
-1724469539,shameless,sin vergüenza,ADJECTIVE
-1724403993,jealous,celoso,NONE
-1724348854,sunlight,luz del sol,NOUN
-1724177851,transistor,transistor,NOUN
-1724158635,transition,transición,NOUN
-1724158427,transitive,transitivo,ADJECTIVE
-1724152765,transitory,transitorio,NONE
-1724150234,astrocyte,astrocito,NOUN
-1724006334,tabulator,tabulador,NOUN
-1723905737,astrolabe,astrolabio,NOUN
-1723895699,snake hawk,,NOUN
-1723892108,astrology,astrología,NOUN
-1723845551,astronaut,astronauta,NOUN
-1723832340,astronomy,astronomía,NOUN
-1723755471,daily bread,pan de cada día,NOUN
-1723529281,half note,,NOUN
-1723483169,half past,una y media,NOUN
-1723356518,half time,entretiempo,NOUN
-1723165877,full-time,de tiempo completo,NONE
-1722905372,xenotransplantation,xenotrasplante,NOUN
-1722688595,iamblichus,Jámblico,PROPOSITIOIN
-1722538002,upper case,mayúscula,NOUN
-1722519004,diametrically,diametralmente,ADVERB
-1722386768,australian capital territory,Territorio Capital Australiano,PROPOSITIOIN
-1722362172,indignation,indignación,NOUN
-1722267927,parking lot,aparcamiento ,NONE
-1722059285,poached egg,huevo escalfado,NOUN
-1721943526,translator,traductor ,NONE
-1721317954,ganymede,Ganimedes,PROPOSITIOIN
-1721136679,witch-hunt,caza de brujas,NOUN
-1721096621,acquainted,conocido,ADJECTIVE
-1721090992,baseball,béisbol,NOUN
-1720789014,baseless,,ADJECTIVE
-1720759377,basement,sótano,NOUN
-1720651631,apocarpous,apocarpo,ADJECTIVE
-1720378764,ejector,eyector,NOUN
-1720227671,poop deck,castillo de popa,NOUN
-1720019528,sunscreen,protector solar,NOUN
-1719962741,jeffrey,,PROPOSITIOIN
-1719769960,bashkiria,,PROPOSITIOIN
-1719160073,liquescent,,ADJECTIVE
-1718983806,wash one's hands of,lavarse las manos,VERB
-1718753363,hermit crab,cangrejo ermitaño,NOUN
-1718723966,complementary,complementario,ADJECTIVE
-1717940029,transplant,trasplantar,VERB
-1717919903,sunshade,toldo ,NONE
-1717911905,sunshine,sol ,NONE
-1717843877,jehovah,,NOUN
-1717778714,pseudoscience,pseudociencia,NOUN
-1717329358,basidium,basidio,NOUN
-1717095493,basilean,,NOUN
-1717091600,basilica,basílica,NOUN
-1717054945,unfavorable,desfavorable,NONE
-1717007359,dung beetle,escarabajo pelotero,NOUN
-1716925629,sepulchral,sepulcral,ADJECTIVE
-1716816615,control arm,brazo oscilante transversal,NOUN
-1716765546,cheerleader,porrista,NOUN
-1716457727,archduke,archiduque,NOUN
-1716343715,disadvantageously,desaventajadamente,ADVERB
-1715965556,selection,selección,NOUN
-1715965348,selective,selectivo,ADJECTIVE
-1715825773,jejunal,yeyunal,ADJECTIVE
-1715825152,jejunum,yeyuno,NOUN
-1715422662,flea market,rastro ,NONE
-1714731502,endurable,tolerable,ADJECTIVE
-1714720249,endurance,resistencia,NOUN
-1714693010,acorn woodpecker,carpintero bellotero,NOUN
-1713968898,hypomasculinity,hipomasculinidad,NOUN
-1713710573,logistics,logística,NOUN
-1713543931,thought police,policía del pensamiento,NOUN
-1713487802,acrimony,acrimonia,NOUN
-1713385462,transponder,transpondedor ,NONE
-1712999324,animadversion,crítica,NONE
-1712889290,over my dead body,sobre mi cadáver,ADVERB
-1712590963,transverse,transverso,ADJECTIVE
-1712567293,mennonite,Menonita,NOUN
-1712509650,dacryocystitis,dacriocistitis,NOUN
-1712496739,jenifer,,PROPOSITIOIN
-1712108301,aberrance,aberración,NOUN
-1712064846,jelly bean,Jelly Bean,NOUN
-1712007220,irrationalism,irracionalismo,NOUN
-1711861060,half-cell,,NOUN
-1711589290,half-life,periodo de semidesintegración,NOUN
-1711515065,ostinato,ostinato,NOUN
-1711171936,pederastic,pederastico,ADJECTIVE
-1711146561,thumbelina,Pulgarcita,PROPOSITIOIN
-1711100118,supergiant,supergigante,NOUN
-1710948708,white russian,ruso blanco,NOUN
-1710854434,monetarist,monetarista,ADJECTIVE
-1710077675,analgesia,analgesia,NOUN
-1710077673,analgesic,analgésico,ADJECTIVE
-1709945996,inquiline,inquilino,NOUN
-1709893916,inquinate,contaminar,VERB
-1709807982,superhuman,sobrehumano,ADJECTIVE
-1709124725,jet lag,desfase horario ,NONE
-1709117861,jet set,jet set,NOUN
-1709117686,jet ski,jet ski ,NONE
-1709034838,plum tree,,NOUN
-1708805448,jericho,Jericó,PROPOSITIOIN
-1708381070,metaphorically,metafóricamente,ADVERB
-1708229052,alejandro,,PROPOSITIOIN
-1707763302,acrostic,acróstico,NOUN
-1707522548,basswood,tilo,NOUN
-1707210811,afrophobia,afrofobia,NOUN
-1707082138,chimpanzee,chimpancé,NOUN
-1707074856,shopping cart,carrito ,NONE
-1707019076,bastille,Bastilla,PROPOSITIOIN
-1706424246,norepinephrine,norepinefrina,NOUN
-1705696613,scarecrow,espantapájaros,NOUN
-1705572776,apposition,,NOUN
-1705509446,controversy,controversia,NOUN
-1705456882,calcareous,calcáreo,ADJECTIVE
-1704871587,arcturus,Arturo,PROPOSITIOIN
-1704550544,avogadro's number,número de Avogadro,NOUN
-1704518898,whirlpool,remolino,NOUN
-1704490106,blood transfusion,transfusión ,NONE
-1704316166,whirlwind,torbellino,NOUN
-1704309884,sunstroke,insolación,NOUN
-1704298448,jeweler,joyero,NOUN
-1704279371,leaf-cutter ant,hormiga arriera ,NONE
-1704265106,vesper bat,vespertiliónido,NOUN
-1704213889,Wiccan,wiccano ,NONE
-1704131249,boreal owl,,NOUN
-1703505189,voronezh,Vorónezh,PROPOSITIOIN
-1703372439,vermillion,,ADJECTIVE
-1703335795,mule deer,ciervo mulo ,NONE
-1703305877,incentive,incentivo,NOUN
-1703257722,superoxide,superóxido,NOUN
-1702745639,antineutron,antineutrón,NOUN
-1702633379,analogous,análogo,ADJECTIVE
-1702497630,querétaro,Querétaro,PROPOSITIOIN
-1702321145,paper aeroplane,avión de papel,NOUN
-1702155086,radio-telephone,,NOUN
-1701975042,possessive case,caso posesivo,NOUN
-1701872141,coronal mass ejection,eyección de masa coronal,NOUN
-1701537501,jezebel,Jezabel,PROPOSITIOIN
-1701459043,inception,comienzo,NOUN
-1701184695,universal serial bus,Conductor Universal en Serie,NOUN
-1701021840,montenegro,Montenegro,PROPOSITIOIN
-1700984315,seborrhea,seborrea,NOUN
-1700775584,armorbearer,,NOUN
-1700408405,painter's tape,cita de pintor,NOUN
-1700112680,active volcano,volcán activo,NOUN
-1699731306,neuropeptide,neuropéptido,NOUN
-1699512056,national socialism,nacionalsocialismo,NOUN
-1698923450,teleconference,,NOUN
-1698772954,basically,básicamente,ADVERB
-1698754545,acrylate,acrilato,NOUN
-1698725984,incessant,incesante,ADJECTIVE
-1697998732,aubergine,,NOUN
-1697985533,pommel horse,caballete,NOUN
-1697904781,at length,al fin,PREPOSITION
-1697752449,ruddy shelduck,tarro canelo,NOUN
-1697541147,pleural cavity,cavidad pleural,NOUN
-1697324981,precious metal,metal precioso,NOUN
-1697229976,supervisor,supervisor ,NONE
-1696966936,immortalise,inmortalizar,VERB
-1696966885,immortality,inmortalidad,NOUN
-1696712670,futures contract,contrato de futuros,NOUN
-1696687307,black bear,oso negro ,NONE
-1696498623,black hole,agujero negro ,NONE
-1696385860,domestique,gregario,NOUN
-1696217857,widescreen,panorámico,ADJECTIVE
-1696163566,black swan,cisne negro,NOUN
-1696150546,black tern,fumarel común ,NONE
-1696133913,superwoman,supermujer,NOUN
-1695981479,communicable,comunicable,ADJECTIVE
-1695964075,communicator,comunicador ,NONE
-1695908737,congo-brazzaville,,PROPOSITIOIN
-1695889519,phonological,fonológico,ADJECTIVE
-1695455379,petroleum,,NOUN
-1694759930,specially,especialmente,ADVERB
-1694759682,specialty,especialidad,NOUN
-1694725304,impracticalness,,NOUN
-1694530411,skylight,tragaluz,NOUN
-1694318015,preoccupied,preocupado,NONE
-1693721566,gaoxiong,,PROPOSITIOIN
-1693720397,diversion,distracción,NOUN
-1693720231,diversity,diversidad,NOUN
-1693517794,montevideo,Montevideo,PROPOSITIOIN
-1693347944,suntanned,,ADJECTIVE
-1693236589,I'm Jewish,soy judío ,NONE
-1693152320,oyster mushroom,seta  [Argentina,NONE
-1693017210,analytics,analítica,NOUN
-1691959136,amicable,amigable,NONE
-1691874336,coral sea,mar del Coral,PROPOSITIOIN
-1691869224,satanical,,ADJECTIVE
-1691341399,precious stone,piedra preciosa,NOUN
-1690945814,gardenburger,hamburguesa vegetariana ,NONE
-1690799446,quantum mechanics,mecánica cuántica,NOUN
-1690608165,have a screw loose,tener pájaros en la cabeza,VERB
-1690268670,komodo dragon,dragón de Komodo,NOUN
-1689317505,weightlifting,halterofilia,NOUN
-1689201485,bathrobe,albornoz  ,NONE
-1689201074,bathroom,cuarto de baño ,NONE
-1689084351,groningen,Groninga,PROPOSITIOIN
-1688590109,african union,Unión Africana,PROPOSITIOIN
-1688489466,sabbatical,sabático,ADJECTIVE
-1688328166,technetium,tecnecio,NOUN
-1688300022,New Caledonian,neocaledonio,NONE
-1687864641,paradoxically,paradójicamente,ADVERB
-1687754241,landscape genetics,genética del paisaje,NOUN
-1687674582,go to sleep,,VERB
-1687631061,top quark,quark cima,NOUN
-1687185376,bilingualism,bilingüismo,NOUN
-1686813547,high bar,,NOUN
-1686671282,inhabited,habitado,ADJECTIVE
-1686519928,nutation,nutación,NOUN
-1686289436,capotasto,ceja ,NONE
-1686113110,fallopian tube,trompa de Falopio,NOUN
-1685937087,raconteur,narrador,NOUN
-1685839139,vacation,vacación,NOUN
-1685318295,tumultuous,bullicioso,ADJECTIVE
-1685141148,technician,técnico,NOUN
-1685097435,phaistos,Festo,PROPOSITIOIN
-1684858151,protection,protección,NOUN
-1684831526,highbrow,intelectual,NONE
-1684704400,odourless,,ADJECTIVE
-1684627298,vantage point,mirador ,NONE
-1684609868,spectacle,espectáculo,NOUN
-1684593425,spectator,espectador,NOUN
-1684212218,widespread,extenso,ADJECTIVE
-1683970883,make ends meet,llegar a fin de mes,VERB
-1683663236,veritably,verdaderamente,ADVERB
-1683518455,rejection,rechazo,NOUN
-1683390403,menopause,menopausia,NOUN
-1683175367,playwright,dramaturgo,NOUN
-1683162969,playwriter,,NOUN
-1683099868,inconvenient,incómodo,NONE
-1682908917,purgative,purgativo,ADJECTIVE
-1682903255,purgatory,purgatorio,NOUN
-1682869138,phalange,,NOUN
-1682740891,medal table,medallero,NOUN
-1681911623,estoppel by deed,impedimento por escritura,NOUN
-1681772017,impassable,infranqueable,ADJECTIVE
-1681330228,linearly independent,linealmente independiente,ADJECTIVE
-1681134161,Colchis,Cólquide ,NONE
-1680611117,nuthatch,sita,NOUN
-1680409370,bombardier beetle,escarabajo bombardero,NOUN
-1680336787,loudspeaker,altavoz,NOUN
-1680169808,wrongful,culposo,NONE
-1680019239,kinesiology,kinesiología,NOUN
-1680002855,tubercule,,NOUN
-1679911041,voracious,voraz,ADJECTIVE
-1679865013,square centimeter,centímetro cuadrado,NONE
-1679325940,technology,tecnología,NOUN
-1678217978,teaberry,gaulteria ,NONE
-1678161402,glasgow kiss,,NOUN
-1677852069,panchromatic,pancromático,ADJECTIVE
-1677510111,not at all,de nada,NONE
-1677213875,teaching,enseñanza,NOUN
-1677084941,pharisee,fariseo,NOUN
-1676983117,pharmacy,farmacia ,NONE
-1676462642,double bass,contrabajo,NOUN
-1676453787,aeschylus,Esquilo,PROPOSITIOIN
-1676428169,video game,juego de video,NONE
-1676226247,lyrebird,ave lira,NOUN
-1676111234,abominable,abominable,NONE
-1676111214,abominably,abominablemente,ADVERB
-1675985339,confederation,confederación,NOUN
-1675938495,double star,estrella doble,NOUN
-1675910628,double trap,doble foso,NOUN
-1675878608,wakefulness,vigilia,NOUN
-1675273446,michaela,Micaela,PROPOSITIOIN
-1675206798,loose change,cambio,NOUN
-1675147551,michelle,,PROPOSITIOIN
-1675033524,michigan,Míchigan,PROPOSITIOIN
-1673929262,bioinspired,,ADJECTIVE
-1673794595,mud wrestling,lucha en lodo ,NONE
-1673564821,archangel,arcángel,NOUN
-1673289038,superego,superyó,NOUN
-1673284943,superior,superior,ADJECTIVE
-1673281537,superman,supermán,NOUN
-1673280578,supernal,paradisiaco,NONE
-1673275641,superset,superconjunto,NOUN
-1672449244,ghost writer,,NOUN
-1672376048,teahouse,casa de té,NOUN
-1672275184,seaborgium,seaborgio,NOUN
-1672269347,birdbrain,casquivano,NOUN
-1671908002,cilantro,cilantro,NOUN
-1671814624,physical therapy,,NOUN
-1671613685,troubadour,trovador ,NONE
-1671151641,nutrient,nutriente,NOUN
-1671122603,pandemonism,pandemonismo,NOUN
-1671097591,transformation,transformación,NOUN
-1671067513,Mexican,mexicano,NONE
-1670988103,witchcraft,brujería,NOUN
-1670862172,Eucharist,Eucaristía ,NONE
-1670644152,carbon copy,copia ,NONE
-1670163163,carbon star,estrella de carbono,NOUN
-1670089528,protestant,protestante,PROPOSITIOIN
-1670040117,christianization,cristianización,NOUN
-1669921323,swordfish,pez espada ,NONE
-1669872398,archenemy,archienemigo,NOUN
-1669788314,vaporizer,vaporizador,NOUN
-1669753054,archeress,arquera,NOUN
-1669674359,archetype,arquetipo,NOUN
-1669530748,swordsman,espadachín,NOUN
-1669097822,archfiend,,NOUN
-1669076543,security council,,PROPOSITIOIN
-1668899441,priscilla,Priscila,PROPOSITIOIN
-1668504879,Anglophone,anglohablante ,NONE
-1668244660,umbilical cord,cuerda umbilical,NOUN
-1668091969,impulsiveness,irreflexión ,NONE
-1667985062,obadiah,Abdías,PROPOSITIOIN
-1667525906,teamwork,trabajo en equipo,NOUN
-1667350427,criminal law,derecho penal,NOUN
-1667344427,psychotherapy,psicoterapia,NOUN
-1667055813,binary relation,relación binaria,NOUN
-1666789410,low-budget,de bajo presupuesto,NONE
-1666338091,elastic,,ADJECTIVE
-1666338080,elastin,elastina,NOUN
-1666318674,elation,euforia,NOUN
-1666318466,elative,caso elativo,NOUN
-1665999883,architect,arquitecto,NONE
-1665935961,archivist,archivero,NOUN
-1665886408,subservient,servil,ADJECTIVE
-1665641344,adolescence,adolescencia,NOUN
-1665542737,greengrocer,verdulero,NOUN
-1665508325,tear gas,gas lacrimógeno,NOUN
-1665036485,pedestrian,peatonal,ADJECTIVE
-1664911096,diabolical,diabólico,ADJECTIVE
-1664907531,ciliated,ciliado,ADJECTIVE
-1664835981,wheatfield,trigal,NOUN
-1664797346,mongolian,,ADJECTIVE
-1664678247,discordianism,discordianismo,PROPOSITIOIN
-1664500181,class diagram,diagrama de clases,NOUN
-1664121990,be prepared,siempre listo,NONE
-1664052089,obelisk,obelisco,NOUN
-1664039834,double-park,estacionar en doble fila,VERB
-1663986409,elderly,anciano,ADJECTIVE
-1663843507,obesity,obesidad ,NONE
-1663556528,tearaway,alborotador ,NONE
-1663471535,teardrop,lágrima,NOUN
-1663443223,anthracene,antraceno,NOUN
-1663439193,anthracite,antracita,NOUN
-1663385780,acculture,aculturar,VERB
-1663312675,supplant,suplantar,VERB
-1663305268,supplier,proveedor ,NONE
-1663206299,supposed,,ADJECTIVE
-1663185810,eleanor,Leonor,PROPOSITIOIN
-1663176889,inter alia,entre otros,ADVERB
-1663129931,suppress,suprimir,VERB
-1663120462,elector,elector,NOUN
-1663019586,elegant,elegante,NONE
-1662980576,light pollution,contaminación lumínica,NOUN
-1662836996,element,elemento,NOUN
-1662572550,elevate,,VERB
-1662247659,impatience,impaciencia,NOUN
-1662193407,teaspoon,cucharilla,NOUN
-1661966007,concoction,brebaje  ,NONE
-1661347008,ink bottle,,NOUN
-1660946690,spurious,espurio,NONE
-1660694775,obstetric,obstétrico,ADJECTIVE
-1660368941,gas mask,máscara antigás,NOUN
-1660280841,Venus' comb,aguja ,NONE
-1660163403,invariably,invariablemente,ADVERB
-1660145915,greyhound,galgo,NOUN
-1659915555,fuck buddy,follamigo ,NONE
-1659782971,balls-deep,hasta las pelotas,ADVERB
-1659056412,calisthenics,calistenia,NOUN
-1658930383,elitism,elitismo,NOUN
-1658930376,elitist,elitista,ADJECTIVE
-1658881757,chicken leg,muslo de pollo,NOUN
-1658878365,chicken out,acobardarse,NONE
-1658257457,suspicion,sospecha,NOUN
-1658120687,space tourism,turismo espacial,NOUN
-1658066943,gamma-aminobutyric acid,ácido gamma-aminobutírico,NOUN
-1658034800,washington,Washington,PROPOSITIOIN
-1657669071,oblique,oblicuo,ADJECTIVE
-1657490305,obloquy,insulto ,NONE
-1657195938,obstinacy,testarudez ,NONE
-1657126631,adequately,adecuadamente,ADVERB
-1656905751,amphiprostyle,anfipróstilo,ADJECTIVE
-1656480802,ellipse,elipse,NOUN
-1656392447,tessellation,,NOUN
-1656317656,I have high blood pressure,tengo hipertensión,NONE
-1656246129,patisserie,pastelería,NOUN
-1656205805,actinide,actínido,NOUN
-1656205270,actinium,actinio,NOUN
-1656117160,white fox,,NOUN
-1656111599,white lie,mentirilla,NONE
-1656110877,white man,,NOUN
-1656105647,white roe,,NOUN
-1656105000,white sea,mar Blanco,PROPOSITIOIN
-1655974669,activate,activar,VERB
-1655971053,actively,activamente,NONE
-1655966997,activist,activista,NOUN
-1655966961,activity,actividad,NOUN
-1655875308,grand unification theory,teoría de gran unificación,NOUN
-1655667646,obedience,obediencia,NOUN
-1655659678,thyroidectomy,tiroidectomía,NOUN
-1655038418,air bladder,,NOUN
-1654745112,embarrassing,embarazoso,ADJECTIVE
-1654672657,free-throw line,linea de tiros libres,NOUN
-1654513145,radio astronomy,radioastronomía,NOUN
-1654491814,dewar flask,,NOUN
-1654443546,confectioners sugar,,NOUN
-1654434800,triumphal arch,arco de triunfo,NOUN
-1654399021,privileged,privilegiado,ADJECTIVE
-1654282081,Hungarian,húngaro ,NONE
-1654028799,whitefish,,NOUN
-1654019451,fracking,,NOUN
-1653843976,salvadorian,,ADJECTIVE
-1653751294,fraction,fracción,NONE
-1653739678,fracture,fractura,NOUN
-1653530040,whitewash,encubrir,VERB
-1653436228,hemoglobin,hemoglobina,NOUN
-1653415872,litmus paper,papel de tornasol,NOUN
-1653231764,mole cricket,grillo topo,NOUN
